paper_id,betweenness,indegree,clustering,pagerank
1970567417,0,0,0,2.12305302615473e-05
1970584129,0,0,0,0
1970721357,143,2,0.002997002997003,2.19360570293853e-05
1970932378,0,0,0,2.12305302615473e-05
1970949973,0,0,0,0
1971330847,0,11,0.272727272727273,3.41190559238834e-05
1971378411,27,2,0.00952380952380952,2.43035996331416e-05
1971651582,0,0,0,2.12305302615473e-05
1971695360,0,0,0,2.12305302615473e-05
1971852925,0,0,0,0
1971931163,0,0,0,0
1971933020,0,0,0,2.12305302615473e-05
1972202286,0,0,0,0
1972317981,29013.560778367,7,0.0341394025604552,2.42274307884277e-05
1972442207,3833.63662415562,4,0.0836707152496626,2.24678930098272e-05
1972655454,0,0,0,2.12305302615473e-05
1973117371,0,0,0,0
1973351674,0,0,0.0065359477124183,2.12305302615473e-05
1973421453,0,0,0,2.12305302615473e-05
1973428576,0,0,0,0
1973544448,0,0,0,0
1973729673,0,0,0,0
1973738966,60327.9376699128,5,0.17487684729064,2.44544825357021e-05
1973911148,0,0,0,0
1973912661,0,0,0,2.12305302615473e-05
1974494684,0,0,0,0
1974496305,0,0,0,2.12305302615473e-05
1974873275,0,0,0,0
1975012378,55,2,0,2.22599692742354e-05
1975028353,0,0,0,2.12305302615473e-05
1975379095,0,0,0,0
1975466383,0,0,0.003003003003003,2.12305302615473e-05
1975695196,0,0,0,2.12305302615473e-05
1975841784,0,0,0,0
1975849440,0,0,0,2.12305302615473e-05
1975991729,0,0,0,2.12305302615473e-05
1976040245,0,0,0,2.12305302615473e-05
1976065025,0,0,0,2.12305302615473e-05
1976357293,0,0,0,2.12305302615473e-05
1976714365,0,0,0,2.12305302615473e-05
1976936419,0,0,0,2.12305302615473e-05
1977059718,0,0,0,2.12305302615473e-05
1977077844,0,0,0,2.12305302615473e-05
1977159871,0,0,0,0
1977186961,0,0,0.00010856348792774,2.12305302615473e-05
1977268240,0,0,0,2.12305302615473e-05
1978016254,6649.37484465107,14,0.154654654654655,2.95707136806233e-05
1978533952,0,0,0,2.12305302615473e-05
1978852936,199,3,0.00201207243460765,4.02490874188964e-05
1978889401,0,0,0,0
1979117763,3204.37503114231,9,0.100392156862745,2.57635833498851e-05
1979266161,0,0,0,2.12305302615473e-05
1979940748,52,1,0,2.2032821029965e-05
1980009593,0,0,0,2.12305302615473e-05
1980140669,0,0,0,2.12305302615473e-05
1980284199,0,0,0,2.12305302615473e-05
1980369557,215.833333333333,2,0.0101960784313725,2.20401409356657e-05
1980474457,0,0,0,2.12305302615473e-05
1980545176,0,0,0,2.12305302615473e-05
1981160352,518.861507936508,3,0.054945054945055,2.51906023973197e-05
1981241987,0,0,0,2.12305302615473e-05
1981552946,0,0,0,0
1981709871,0,0,0,2.12305302615473e-05
1982128283,0,0,0,0
1982222192,436.945670995671,4,0.0483870967741936,2.29265587693744e-05
1982409465,0,0,0,2.12305302615473e-05
1982813715,0,0,0,2.12305302615473e-05
1982877045,0,0,0,2.12305302615473e-05
1983242488,0,0,0.333333333333333,2.12305302615473e-05
1983333240,0,0,0,2.12305302615473e-05
1983644763,18,1,0.0065359477124183,2.187502850163e-05
1983647344,2838.77378820325,12,0.103594080338266,2.68453133341437e-05
1983893777,7669.00289463289,3,0.158620689655172,2.19378303005984e-05
1984631324,0,0,0,0
1984806618,0,0,0,2.12305302615473e-05
1985008200,0,0,0,2.12305302615473e-05
1985184958,1101.00511155511,2,0.166666666666667,2.25499053022729e-05
1985454299,0,0,0,2.12305302615473e-05
1985464899,0,0,0.0015015015015015,2.12305302615473e-05
1985828106,0,0,0,0
1985864622,0,0,0,0
1986093326,167,2,0.00307692307692308,2.25231599929635e-05
1986315879,0,0,0,0
1986475959,0,0,0,2.12305302615473e-05
1986477401,244.916666666667,6,0.0256410256410256,2.44721764662674e-05
1986568082,0,0,0,2.12305302615473e-05
1986622936,0,0,0.0184873949579832,2.12305302615473e-05
1986819336,0,0,0,0
1987003629,1371.49557565613,14,0.139705882352941,2.98565239469697e-05
1987290990,2430,11,0.05,3.10179245533348e-05
1987352305,0,0,0,2.12305302615473e-05
1987551809,0,0,0,2.12305302615473e-05
1988502615,0,0,0,2.12305302615473e-05
1988676202,0,0,0,0
1988940318,261.988186722119,1,0.0405405405405405,2.189531826104e-05
1988996681,19178.2703904868,15,0.0675324675324675,2.67257243007228e-05
1989161147,0,0,0,0
1989258207,0,0,0,2.12305302615473e-05
1989357836,0,0,0,2.12305302615473e-05
1989366715,0,0,0,0
1989416990,0,0,0,0
1989487372,0,0,0,0
1989564613,0,0,0,0
1989699114,0,0,0,0
1989972061,0,0,0,2.12305302615473e-05
1990027781,0,0,0,0
1990394975,78.6666666666667,1,0.00684931506849315,2.19824448749771e-05
1990464984,0,0,0,2.12305302615473e-05
1990490318,0,0,0,2.12305302615473e-05
1990665669,38767.4540435631,2,0.0106382978723404,2.19674427957271e-05
1990681896,0,0,0,0
1990773258,0,0,0,0
1990801506,41060.7308068786,18,0.122456140350877,2.9041217900373e-05
1991066503,26.5,3,0.0476190476190476,2.21083413187309e-05
1991393794,0,1,0,2.28710712363032e-05
1991555927,0,0,0,2.12305302615473e-05
1991734177,0,0,0,2.12305302615473e-05
1991763899,0,0,0,0
1991829179,0,0,0.00348432055749129,2.12305302615473e-05
1992174404,0,0,0,2.12305302615473e-05
1992236530,20,1,0.00790513833992095,2.72458471689857e-05
1992619260,20,1,0,2.57420179421261e-05
1992680534,12723.4943561783,7,0.111111111111111,2.37553212785219e-05
1992898112,0,0,0,0
1992971093,0,0,0.0666666666666667,2.12305302615473e-05
