paper,similar
2159981908,3036910473
2159981908,2032005565
2159981908,2547213877
2159981908,3045840719
2159981908,2901377436
2159981908,3047706880
2159981908,2805373057
2117485795,2884796708
2117485795,2990408854
2117485795,3044850674
2117485795,2321085893
2117485795,2145203661
2117485795,2401450162
2117485795,2040231289
2117485795,2317456056
2117485795,3043088589
2117485795,2736876412
2139297408,2999864926
2139297408,3025864033
2139297408,2811456466
2139297408,2980920141
2139297408,3037597705
2139297408,2890864298
2139297408,1986093326
2139297408,2092204889
2139297408,2768364261
2139297408,2788460644
2329271317,2792990392
2329271317,2984429628
2329271317,2888934723
2329271317,2474855329
2329271317,2976933412
2329271317,2914655666
2329271317,2620682949
2329271317,2949964222
2329271317,1540863043
2329271317,3013430968
1998802214,2135678509
1998802214,2546854138
1998802214,2013741388
1998802214,2442654149
1998802214,2031342795
1998802214,3029161529
1998802214,2748635842
1998802214,2055216955
1998802214,2415926307
1998802214,1981709871
2139092938,1594392536
2139092938,2136863596
2139092938,1657014009
2139092938,2165580667
2139092938,1998539923
2139092938,2111095620
2139092938,2167981013
2139092938,2982155962
2139092938,2984473707
2139092938,1995599088
2012975501,2921762243
2012975501,2596838841
2012975501,2974994267
2012975501,2001644739
2012975501,269417480
2012975501,1955589627
2012975501,1993138464
2012975501,2010592697
2012975501,1979117763
2012975501,2139232321
2135678509,2144140766
2135678509,2106458568
2135678509,2546854138
2135678509,1998802214
2135678509,3029161529
2135678509,2055216955
2135678509,1981709871
2135678509,2157826752
2135678509,1994937252
2135678509,2013741388
2760944227,2770124763
2760944227,2889224140
2760944227,2978478255
2760944227,3042215501
2760944227,2907314939
2760944227,3049201689
2760944227,2332080898
2760944227,2899298125
2760944227,2782340832
2760944227,3042670050
1757694062,2890614218
1757694062,2060749277
1757694062,2091494464
1757694062,2891296889
1757694062,2114283483
1757694062,2013741388
1757694062,76305614
1757694062,1976065025
1757694062,2053397541
1757694062,1899215478
2410465342,2954757840
2410465342,2945387149
2410465342,2967272809
2410465342,2942047809
2410465342,3049008704
2410465342,3013122344
2410465342,2743800013
